Retailer Code,Sub Ret Cat Name,Zone Name,Region Name,Territory Name
ATHU0284,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0286,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0288,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0289,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0290,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0291,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0292,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0293,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0294,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0295,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0296,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0297,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0298,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0299,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0300,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0301,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0302,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0303,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0304,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0308,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0310,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0311,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0312,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0315,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0316,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0317,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
